recipeCode,order,instructionVi,timerMinutes,heatLevel,temperatureCelsius,ingredientCodes
com_trang,1,Vo gạo.,2,,,gao_te
com_trang,2,Cho gạo và nước vào nồi theo tỉ lệ quen dùng.,1,,,
com_trang,3,Nấu chín rồi ủ trước khi xới.,22,low,100,
ga_kho_gung,1,Sơ chế nguyên liệu và ướp phần đạm với gia vị.,30,,,ga_ta|gung|hanh_tim|nuoc_mam|duong_cat|tieu_xay|dau_an
ga_kho_gung,2,Phi thơm hành tỏi rồi cho phần đạm vào đảo săn.,3,high,190,
ga_kho_gung,3,Kho nhỏ lửa cho tới khi thấm và nước sánh lại.,20,low,90,
ga_chien_nuoc_mam,1,"Sơ chế, thấm khô nguyên liệu và ướp gia vị.",15,,,ga_ta|toi|nuoc_mam|duong_cat|dau_an
ga_chien_nuoc_mam,2,Chiên hoặc áp chảo cho vàng đều hai mặt.,15,medium,180,
ga_chien_nuoc_mam,3,"Vớt ra để ráo dầu, nêm lại nếu cần.",2,,,
ga_xao_sa_ot,1,Sơ chế và cắt nguyên liệu vừa ăn.,15,,,ga_ta|sa|ot_hiem|toi|nuoc_mam|dau_an
ga_xao_sa_ot,2,"Phi thơm tỏi, xào phần đạm trên lửa lớn.",8,high,190,
ga_xao_sa_ot,3,"Cho phần rau vào đảo nhanh, nêm vừa ăn.",5,high,190,
ga_kho_nam,1,Sơ chế nguyên liệu và ướp phần đạm với gia vị.,20,,,ga_ta|nam_rom|hanh_tim|nuoc_mam|tieu_xay|dau_an
ga_kho_nam,2,Phi thơm hành tỏi rồi cho phần đạm vào đảo săn.,5,medium,170,
ga_kho_nam,3,Kho nhỏ lửa cho tới khi thấm và nước sánh lại.,25,low,95,
thit_kho_trung,1,Sơ chế nguyên liệu và ướp phần đạm với gia vị.,20,,,thit_ba_chi|trung_ga|hanh_tim|nuoc_mam|duong_cat|tieu_xay
thit_kho_trung,2,Phi thơm hành tỏi rồi cho phần đạm vào đảo săn.,5,medium,170,
thit_kho_trung,3,Kho nhỏ lửa cho tới khi thấm và nước sánh lại.,30,low,95,
suon_ram_man,1,Sơ chế nguyên liệu và ướp phần đạm với gia vị.,20,,,suon_heo|toi|hanh_tim|nuoc_mam|duong_cat|dau_an
suon_ram_man,2,Phi thơm hành tỏi rồi cho phần đạm vào đảo săn.,6,medium,170,
suon_ram_man,3,Kho nhỏ lửa cho tới khi thấm và nước sánh lại.,25,low,95,
