code,nameVi,versionNumber,yieldAdultEquivalent,activeMinutes,elapsedMinutes,tagCodes
com_trang,Cơm trắng,3,4,5,30,
ga_kho_gung,Gà kho gừng,3,4,15,35,
ga_chien_nuoc_mam,Gà chiên nước mắm,3,4,20,40,
ga_xao_sa_ot,Gà xào sả ớt,3,3,15,30,
ga_kho_nam,Gà kho nấm rơm,3,4,30,60,
thit_kho_trung,Thịt kho trứng,3,4,45,50,
suon_ram_man,Sườn ram mặn,3,4,15,60,
thit_xao_dau_cove,Thịt xào đậu cô ve,3,4,10,35,
thit_xao_hanh_tay,Thịt xào hành tây,3,3,20,30,
suon_kho_khoai_tay,Sườn kho khoai tây,3,4,20,60,
bo_xao_gia,Bò xào giá,3,4,30,30,
bo_kho_ca_rot,Bò kho cà rốt,3,4,40,115,
bo_xao_hanh_tay,Bò xào hành tây,3,4,15,55,
ca_loc_kho_to,Cá lóc kho tộ,3,2,20,40,
ca_basa_chien_gion,Cá basa chiên giòn,3,4,15,15,
ca_nuc_kho_ca_chua,Cá nục kho cà chua,3,2,15,35,
ca_basa_kho_tieu,Cá basa kho tiêu,3,2,20,40,
tom_rim_man,Tôm rim mặn,3,6,30,65,
tom_xao_bi_dao,Tôm xào bí đao,3,2,5,10,
muc_xao_ca_chua,Mực xào cà chua,3,4,12,22,
trung_chien_hanh,Trứng chiên hành,3,3,10,15,
trung_chien_thit_bam,Trứng chiên thịt băm,3,1,10,15,
dau_hu_sot_ca_chua,Đậu hũ sốt cà chua,3,4,15,35,
dau_hu_chien_sa,Đậu hũ chiên sả,3,2,10,25,
dau_hu_kho_nam,Đậu hũ kho nấm,3,4,20,30,
rau_muong_luoc,Rau muống luộc,3,4,5,35,
rau_muong_xao_toi,Rau muống xào tỏi,3,4,10,15,
cai_ngot_luoc,Cải ngọt luộc,3,5,5,25,
bap_cai_xao,Bắp cải xào,3,3,12,27,
su_su_xao_ca_rot,Su su xào cà rốt,3,6,10,25,
muop_xao_toi,Mướp xào tỏi,3,3,5,15,
rau_den_luoc,Rau dền luộc,3,1,5,10,
canh_bi_dao_thit_bam,Canh bí đao thịt băm,3,4,30,50,
canh_chua_ca_loc,Canh chua cá lóc,3,4,10,40,
canh_cai_thao_thit,Canh cải thảo thịt bằm,3,2,15,35,
canh_ca_chua_trung,Canh cà chua trứng,3,4,5,25,
canh_bi_do_thit_bam,Canh bí đỏ thịt băm,3,4,15,35,
