table,row_key,field,current_value,reason,priority,best_source_or_candidate,candidate_or_hint,notes,status
recipe_ingredients.csv,com_trang:gao_te,quantity,CAN-DIEN: luong theo unitCode,Available rice guidance gives serving/rice ranges rather than one sourced scalar matching the catalog recipe.,high,,300,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,ga_kho_gung:hanh_tim,quantity,CAN-DIEN: luong theo unitCode,Source commonly gives shallot as củ/count; no defensible Vietnamese shallot count→gram scalar was established.,medium,,30,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,ga_xao_sa_ot:sa,quantity,CAN-DIEN: luong theo unitCode,Source gives lemongrass as stalk/count or a gram range; midpoint is intentionally not fabricated.,medium,https://delightfulplate.com/vietnamese-lemongrass-chicken-stir-fry-ga-xao-sa-ot | https://www.hanna-one.com/weightgarlic.html,25,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,ga_xao_sa_ot:ot_hiem,quantity,CAN-DIEN: luong theo unitCode,Bird’s-eye chili fruit weight varies materially; source gives count but no exact gram mass.,medium,,5,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,ga_kho_nam:hanh_tim,quantity,CAN-DIEN: luong theo unitCode,Source commonly gives shallot as củ/count; no defensible Vietnamese shallot count→gram scalar was established.,medium,,30,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,ga_kho_nam:dau_an,quantity,CAN-DIEN: luong theo unitCode,"Exact/near-exact recipe source leaves this seasoning as “một ít/vừa ăn”, a range, or omits it; no scalar is invented.",medium,,15,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,thit_xao_hanh_tay:toi,quantity,CAN-DIEN: luong theo unitCode,Source uses stalk/clove/count or an imprecise amount that cannot be mapped safely to the schema scalar for this recipe.,medium,,10,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,thit_xao_hanh_tay:nuoc_mam,quantity,CAN-DIEN: luong theo unitCode,"Exact/near-exact recipe source leaves this seasoning as “một ít/vừa ăn”, a range, or omits it; no scalar is invented.",medium,,15,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,thit_xao_hanh_tay:tieu_xay,quantity,CAN-DIEN: luong theo unitCode,"Exact/near-exact recipe source leaves this seasoning as “một ít/vừa ăn”, a range, or omits it; no scalar is invented.",medium,,2,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,suon_kho_khoai_tay:hanh_tim,quantity,CAN-DIEN: luong theo unitCode,Source commonly gives shallot as củ/count; no defensible Vietnamese shallot count→gram scalar was established.,medium,,30,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
